Year,Day,Hour,Minutes,Air Temp (C),Blocknumber,Latitude,Longitude,Altitude,HDOP,Num_of_sats,Fix_time
14,199,22,30,26,151,14.167029,145.163141,21,1.1,9,91
14,197,3,0,25,79,14.16338,145.157928,11,1.2,6,137
14,197,22,0,26,101,14.161789,145.164006,88,1.3,8,54
14,199,3,30,25,129,14.167484,145.16515,24,1.3,6,35
14,198,0,0,27,105,14.16019,145.154876,9,1,5,85
14,197,3,30,25,80,14.163284,145.159327,29,4,5,39
14,197,23,0,27,103,14.162932,145.157903,27,1.4,7,84
14,197,23,30,25,104,14.160107,145.154393,22,1.4,6,146
14,199,1,30,25,140,14.166881,145.16304,21,1.5,5,105
14,199,3,0,26,128,14.167333,145.163269,29,1.5,6,180
14,200,6,0,25,166,14.155806,145.153732,112,1.5,6,144
14,199,1,0,26,139,14.16622,145.163701,25,1.5,9,122
14,199,23,0,28,152,14.167187,145.161565,1,1.5,5,41
14,199,21,30,25,149,14.167379,145.16304,25,1.6,8,84
14,200,5,30,26,165,14.155011,145.153452,101,1.7,5,91
14,197,1,30,26,76,14.163154,145.158691,20,1.7,8,98
14,197,4,0,27,81,14.163332,145.159327,38,1.8,6,85
14,199,22,0,27,150,14.167002,145.163141,24,1.8,6,49
14,199,2,0,25,141,14.167091,145.161972,20,1.9,7,55
14,199,2,30,26,142,14.167593,145.163141,6528,2.1,3,41
14,197,2,30,28,78,14.161809,145.156885,26,2.1,5,180
14,197,4,30,26,82,14.164243,145.159327,26,2.2,4,180
14,197,2,0,26,77,14.161924,145.156885,46,2.9,4,180
14,197,1,0,31,75,14.163707,145.159784,18,3.2,4,180
14,200,6,30,26,167,14.155879,145.153834,114,3.7,4,180
14,197,22,30,26,102,14.162259,145.160929,6528,10.9,3,180
14,199,23,30,30,153,14.16913,145.16098,6527,12.7,4,180
